Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
45	74.634125	66.84925	209.4868	-1.662885	411.36365	13.350972	5.396352	38.19865	-8.131069	230000	1.0848046e-09	104.07307	-0.03881646	-22.38652	0.58557296	0.015210508	0.2018	17.0	281.65679383277893
46	80.43834	60.365402	209.74876	6.5913186	465.1	13.7414	4.4758782	37.281643	-1.9900064	235000	4.5999884e-09	131.38441	-0.030332135	-31.834	0.58143175	0.015353564	0.148	11.0	287.98180508613586
47	48.806	50.216293	165.20502	-56.945816	198.7619	14.0346575	8.042763	41.185917	-8.734444	240000	1.4979392e-08	251.32898	-0.0804444	-47.70462	0.5788589	0.015063757	0.3206	62.0	295.4150199890137
48	60.006348	57.188057	188.19946	-3.515482	308.8	13.585991	7.2279434	40.055294	-15.260838	245000	-7.9751015e-09	226.91728	-0.040582217	-58.83156	0.5715503	0.016323728	0.1962	14.0	301.83400988578796
49	61.55308	67.797966	189.59991	-32.180145	318.66666	12.584742	10.249441	45.31431	-18.215322	250000	-8.672476e-09	280.46823	-0.048065472	-55.087738	0.56911	0.015031248	0.214	22.0	307.8390657901764
50	75.11295	51.04744	172.44012	-1.0792587	384.33334	13.12078	9.581961	42.050297	-17.85635	255000	-5.1409006e-09	250.71815	-0.055160463	-75.203354	0.5636425	0.015075552	0.2318	24.0	313.7814779281616
51	99.100426	57.51652	182.15141	30.37279	729.5	11.068254	12.926824	47.75063	-36.690746	260000	-5.6028364e-09	171.42836	-0.058769047	-53.773064	0.55649114	0.015142621	0.2502	29.0	320.241641998291
52	170.15271	128.27003	356.09363	19.48437	582.625	14.457163	11.218736	42.49435	-12.297307	265000	-1.9076467e-08	458.06085	-0.034059886	-235.25493	0.5495931	0.01522574	0.1946	12.0	328.2879638671875
53	105.917175	70.276245	258.88162	-7.224696	499.1	22.899244	12.331518	57.486134	-11.163734	270000	1.8167496e-08	299.60553	-0.0377793	-128.57104	0.5463707	0.0150404	0.1784	15.0	338.05508613586426
54	96.688126	60.566795	223.27036	23.945797	309.1875	21.443594	10.996007	50.062363	-9.917181	275000	-1.2665987e-08	267.606	-0.03148082	-47.749893	0.5422055	0.0151784895	0.157	11.0	346.2533378601074
55	76.53155	85.146675	267.98083	-1.7747412	327.93332	15.1001215	11.035865	46.931305	-12.971374	280000	2.6881695e-09	228.339	-0.03181596	-51.599823	0.5391773	0.015226674	0.1832	12.0	354.03717517852783
56	147.55399	63.599056	237.45287	34.768852	503.375	19.344973	8.489635	53.37138	-9.661143	285000	2.3961066e-09	142.08498	-0.021487199	-45.148254	0.5361221	0.015452758	0.1406	7.0	363.91021609306335
57	221.62436	75.221115	308.2774	83.82369	604.25	24.556248	10.283347	48.75048	-6.39561	290000	1.6140937e-08	192.1952	-0.06803591	-62.024994	0.5339446	0.015183792	0.2876	40.0	372.52878284454346
58	128.9904	123.53484	369.51074	-15.334179	515.875	27.954418	10.773348	58.07642	0.04719011	295000	-1.9013882e-09	289.78256	-0.031667646	-89.72812	0.5241649	0.015664453	0.1706	11.0	381.67568588256836
59	143.62457	95.9979	304.84363	15.9125185	466.8889	23.236254	14.959853	59.158787	-16.500948	300000	6.440282e-09	372.45157	-0.023845665	-75.57156	0.5224349	0.015290659	0.1648	8.0	390.0589351654053
60	124.43981	76.918816	247.88947	10.108139	429.27274	23.717812	14.75454	62.200912	-11.508424	305000	5.5864455e-09	300.47626	-0.056064352	-83.97238	0.5211051	0.015130939	0.2286	27.0	399.1452980041504
61	129.82674	135.93198	434.56277	15.086493	323.57144	25.516422	10.827425	52.04019	-14.641124	310000	-1.2871623e-08	320.82318	-0.04219065	-93.659836	0.5143413	0.015099791	0.2178	17.0	408.40486097335815
62	143.65884	96.20853	315.04205	-5.8901196	485.3	28.03255	11.104561	58.538685	-3.88562	315000	-8.481741e-09	191.85744	-0.029688703	-61.12236	0.5106761	0.015711537	0.1858	10.0	415.76223587989807
63	157.5716	114.368454	344.69476	7.2810016	540.0	22.871502	8.327224	52.82813	3.638395	320000	6.353855e-09	331.35083	-0.012376144	-74.27237	0.5086064	0.015910735	0.1846	5.0	422.166307926178
64	193.3605	84.38867	310.89746	88.38727	560.625	28.108023	10.951743	64.74872	-6.8738184	325000	-1.7380714e-08	249.61008	-0.022955496	-76.30829	0.5076425	0.016144976	0.161	8.0	428.05488109588623
65	127.55021	91.626526	315.51883	24.22125	400.66666	24.693592	12.981104	59.73937	-10.731964	330000	7.3730946e-09	275.22485	-0.062102936	-113.43196	0.5060695	0.015240335	0.2584	33.0	434.26993012428284
66	178.95949	104.56633	318.95374	34.311905	505.625	23.60334	9.565112	57.708412	-6.988703	335000	-1.0639429e-09	256.99774	-0.03888525	-77.820145	0.50093573	0.015617903	0.1834	15.0	440.2953290939331
67	112.78549	80.40645	272.25436	14.626898	303.5	26.786871	13.175685	58.742046	-8.534018	340000	-1.1080504e-08	301.03107	-0.023479868	-55.765884	0.49829528	0.015591638	0.1262	9.0	446.3074460029602
68	261.21896	119.67222	447.07138	41.965317	565.0	31.023462	11.568717	57.099255	-2.924458	345000	-2.5379657e-08	385.9086	-0.087281324	-123.6546	0.4964667	0.013131636	0.3628	79.0	453.2731440067291
69	219.54129	117.727806	384.9454	17.292536	616.0	32.189842	11.369718	67.09582	-1.0066892	350000	-1.1956692e-08	249.6251	-0.05075677	-65.65494	0.4856461	0.015246324	0.2136	22.0	460.57828402519226
70	154.71957	90.70952	306.85336	25.672298	493.44446	30.981268	10.45766	63.2879	4.1942406	355000	-8.171797e-09	440.39606	-0.040188335	-120.71979	0.4817742	0.01510639	0.1986	15.0	468.2702729701996
71	180.29997	152.48398	445.09497	2.426122	444.3	28.618837	14.458888	62.750492	-18.884766	360000	1.4555455e-08	430.50134	-0.027765546	-109.55176	0.4798363	0.015601436	0.1614	10.0	476.32026195526123
72	202.17065	160.66194	393.502	-17.794912	540.55554	30.866335	10.605545	62.067467	-1.5712124	365000	-4.5359134e-09	187.14314	-0.026355812	-68.99894	0.47834092	0.015823027	0.1808	9.0	485.3218219280243
73	250.06364	192.70042	501.29227	10.416109	585.8571	34.211426	11.635398	73.8879	-4.5817018	370000	-6.619096e-09	434.3206	-0.027317848	-135.13272	0.47615513	0.015204303	0.2058	10.0	495.40956711769104
74	166.09915	104.83364	348.24026	19.808481	420.3	38.913258	17.656673	90.3486	-8.925013	375000	6.520748e-09	409.47214	-0.014084725	-180.25984	0.47341952	0.015443333	0.1824	6.0	504.94919204711914
75	216.23526	114.903786	368.5747	13.939188	624.0	24.493307	10.479574	58.806927	-10.087906	380000	-1.1712313e-08	189.737	-0.03343813	-92.47201	0.47181872	0.015749265	0.1954	13.0	511.845251083374
76	216.9616	115.77989	382.64203	62.90021	676.8333	27.261997	9.767639	59.79473	6.8013325	385000	1.1414289e-08	155.52788	-0.030652886	-34.314117	0.46852988	0.015034637	0.1412	11.0	518.112044095993
77	244.42831	141.49046	457.84464	53.86716	614.8571	33.738895	12.757195	63.375626	2.0998523	390000	1.3923645e-08	254.16725	-0.022437112	-57.640167	0.46553448	0.015567845	0.1806	8.0	524.2108099460602
78	176.4737	130.90843	406.87973	22.275356	447.72726	33.91284	12.564175	72.48697	-1.4784936	395000	6.4492225e-09	330.6554	-0.08848736	-86.417145	0.46345797	0.014791933	0.3662	79.0	531.0087139606476
79	202.46019	143.20924	436.5073	10.164437	498.4	30.720018	11.945319	62.881733	-1.0323137	400000	-1.2135506e-08	376.7624	-0.059337635	-82.12402	0.45556542	0.015252477	0.264	28.0	537.5461058616638
80	211.09494	158.82924	500.99084	2.9509022	538.2222	34.56008	10.515047	66.88557	2.9882727	405000	-7.289648e-09	278.13815	-0.04122881	-55.054947	0.45096967	0.015327097	0.1752	15.0	543.6606860160828
81	236.61163	112.66229	369.21237	61.441868	548.125	31.699812	11.243557	65.23099	-0.38436437	410000	6.970763e-09	293.86832	-0.026226023	-64.03319	0.44813877	0.015508355	0.1788	9.0	549.7393841743469
82	217.26596	176.88683	510.26883	8.907791	540.44446	35.906193	12.08458	76.446075	4.915238	415000	-4.4465067e-09	236.17046	-0.08799804	-47.822388	0.44614047	0.009030443	0.3672	79.0	556.35280585289
83	198.87236	133.40562	439.92618	29.306383	412.3	37.797108	11.173093	68.476814	3.0710068	420000	-2.4437905e-09	388.3506	-0.05143686	-71.36548	0.44018623	0.015011679	0.2152	21.0	562.7358100414276
84	294.08502	177.2583	517.3501	1.3925687	703.4286	34.09142	9.018058	67.85653	5.926011	425000	1.3291835e-09	233.90295	-0.041869666	-70.38689	0.436906	0.015197139	0.2404	15.0	568.8647711277008
85	256.7035	145.2512	458.88797	24.378984	541.6667	44.76275	10.971774	79.19182	8.812407	430000	-1.7988683e-08	213.75764	-0.04844358	-68.25603	0.43427446	0.015796125	0.246	21.0	574.9153490066528
86	192.14244	177.33498	639.1143	5.4268107	492.33334	40.82868	12.470214	65.81511	14.488788	435000	7.008016e-09	441.41495	-0.030968012	-122.96893	0.4291118	0.01562255	0.1664	10.0	580.8838331699371
87	260.69754	204.38902	651.0368	9.408474	512.3333	46.07685	14.292413	75.80197	-5.7697806	440000	-5.4955485e-09	405.8162	-0.040960062	-115.279205	0.42678145	0.0150695965	0.2188	16.0	586.7676680088043
88	319.66818	189.13968	687.9994	59.04451	615.2857	36.187004	15.6558075	72.011635	-2.2098408	445000	-2.0578503e-09	286.283	-0.043182697	-87.583725	0.42322895	0.015091506	0.2074	16.0	592.7886710166931
89	259.88168	156.28194	534.66473	32.609135	498.7	45.02773	14.425202	78.338104	8.173071	450000	-5.591661e-09	301.94116	-0.036084097	-72.050644	0.4196709	0.015386216	0.2066	14.0	598.7336578369141
90	298.07196	155.69395	568.9974	22.788181	616.5	44.027176	11.095394	71.54888	11.702916	455000	-1.3571977e-08	387.97394	-0.031979002	-93.87082	0.41676137	0.015587367	0.2002	11.0	605.9967229366302
91	254.93549	155.19174	437.16925	24.4507	587.375	38.958286	16.74793	75.28033	-2.4138637	460000	-9.69097e-09	342.9197	-0.0368137	-71.32745	0.413937	0.015475313	0.2024	15.0	613.0620770454407
92	298.6858	177.18861	588.5372	18.497622	589.875	40.241592	15.603393	76.92575	3.759531	465000	-5.0187112e-09	297.13766	-0.041552786	-74.03999	0.41014838	0.015305103	0.2134	17.0	620.8131411075592
93	428.31366	257.61066	711.9431	32.499752	812.8	39.871777	15.94739	71.44112	-13.155167	470000	-6.9856645e-09	255.50168	-0.0764185	-82.89601	0.40671143	0.015030167	0.3034	48.0	628.9178199768066
94	248.87819	194.63326	802.789	30.634493	401.72726	57.46131	14.449852	86.079834	4.1630945	475000	1.1301041e-08	481.9432	-0.020845724	-88.121796	0.40037525	0.015055333	0.1608	7.0	636.6155898571014
95	559.8468	190.78276	768.60034	245.60191	870.6	51.251007	17.923172	84.53029	-6.8223352	480000	9.489059e-09	360.59787	-0.06182744	-131.52602	0.39957616	0.015190082	0.2802	31.0	644.5442819595337
96	471.19876	216.5304	794.7785	161.83885	812.3333	55.72109	20.993925	95.46065	3.30368	485000	1.7579644e-08	307.6618	-0.03186078	-56.714706	0.39680123	0.015419014	0.1932	11.0	652.5106818675995
97	453.22247	116.81685	627.7501	327.24463	877.2	53.29253	18.693157	86.99879	10.854387	490000	-5.38826e-09	250.884	-0.033704493	-48.99771	0.39525488	0.015327057	0.173	12.0	658.8764119148254
98	459.6872	155.39429	692.5231	238.23251	939.2	46.10779	18.61983	85.10398	10.221255	495000	-1.3035536e-08	262.839	-0.017283667	-49.22699	0.39267188	0.015226472	0.1896	6.0	666.4594910144806
99	334.90045	157.4377	665.22986	201.54918	648.8571	52.275513	14.040628	80.3585	14.355258	500000	-1.6739964e-08	443.187	-0.031844255	-144.12524	0.39142257	0.015161993	0.1802	12.0	673.9389510154724
100	410.83298	203.64154	703.70435	181.1369	693.1429	46.593388	14.053294	80.69059	9.749401	505000	-2.3704768e-08	354.2613	-0.074329354	-77.33652	0.38891423	0.01517401	0.312	56.0	681.2445929050446
101	493.88406	229.42874	698.74097	15.13521	800.0	50.3164	15.879051	83.19105	8.0163765	510000	-1.2290478e-08	304.29486	-0.037278667	-106.337616	0.3836979	0.015727187	0.1946	14.0	689.1741030216217
102	404.47086	280.02563	669.9536	3.7462387	676.5	56.641518	18.413364	89.44694	5.4123683	515000	-4.61936e-09	252.65215	-0.03707549	-49.702057	0.38097888	0.015264494	0.22	13.0	697.4499299526215
103	417.09665	204.53674	746.9754	81.320274	742.5	53.9201	14.74843	83.194336	18.493261	520000	5.4934994e-09	291.45203	-0.036955476	-39.83638	0.37744242	0.015201394	0.2032	15.0	704.8289868831635
104	574.69006	206.00961	841.3239	277.62573	811.4	57.967617	11.89231	83.25294	12.121813	525000	6.020069e-10	389.66336	-0.058500927	-117.443146	0.37313506	0.015148421	0.2684	28.0	711.501944065094
105	415.28003	290.852	726.53516	7.026842	680.3333	58.9677	15.28759	91.40811	21.083637	530000	2.3278408e-09	323.517	-0.020096121	-98.15547	0.36683702	0.016337011	0.1678	6.0	717.5091800689697
106	325.48337	215.50075	713.3034	57.13257	541.44446	59.69304	19.223204	88.90333	11.208894	535000	-5.8591367e-09	435.3531	-0.038624164	-101.6257	0.36577082	0.015433417	0.1932	15.0	724.5876040458679
107	315.63245	244.69888	676.8869	29.673922	450.55554	57.675587	13.417026	85.05438	12.4612	540000	8.764863e-09	450.8624	-0.08112651	-78.243164	0.36231816	0.011405383	0.3692	79.0	733.8703570365906
108	514.75653	113.36808	697.8859	376.48016	796.1667	53.478092	16.038092	89.14845	19.072622	545000	-1.19261445e-08	365.5818	-0.065764874	-124.94481	0.35051295	0.01502301	0.2932	34.0	742.3419451713562
109	673.8807	66.084	766.46454	581.85785	861.6	65.65353	15.041553	93.09307	6.552266	550000	-5.161762e-09	436.8868	-0.079953685	-106.89862	0.34640917	0.015035083	0.3632	68.0	748.9776451587677
110	503.8674	250.06018	836.8536	165.2207	674.4286	71.25221	13.759051	98.913475	10.614126	555000	2.117157e-08	458.6405	-0.08652717	-86.41797	0.341951	0.010766308	0.3466	79.0	755.5521779060364
111	391.86356	254.8785	879.871	117.043686	544.7778	61.805805	16.841476	93.54688	18.123709	560000	-8.277595e-09	423.04974	-0.08232706	-88.572174	0.33552998	0.011663643	0.3804	79.0	762.2323579788208
112	477.20682	255.61955	808.7971	46.91142	680.6667	59.627323	15.216043	88.77317	16.236794	565000	1.820326e-08	344.23608	-0.042355634	-56.112305	0.32701698	0.015069746	0.217	14.0	768.3077220916748
113	457.161	244.28844	784.6823	38.249134	732.3333	62.90216	17.363386	93.975006	7.6378155	570000	-8.827448e-09	327.43436	-0.0134944925	-84.20953	0.32495555	0.015441478	0.1768	4.0	774.024689912796
114	724.4692	103.866684	822.2609	532.50916	981.0	62.796055	15.531981	96.85344	10.606131	575000	-1.6343593e-08	438.342	-0.05416424	-163.4892	0.3240971	0.015509173	0.2702	22.0	779.853343963623
115	496.5408	266.80197	861.39636	41.25203	682.4286	75.35952	15.439853	108.16278	15.93407	580000	2.5081635e-08	480.00644	-0.03818445	-138.06335	0.32060978	0.01620174	0.2236	12.0	785.651036977768
116	331.02045	272.7454	804.4367	10.7016735	406.2	68.173515	11.655432	96.25578	26.55909	585000	-7.1525574e-10	578.1997	-0.037730105	-94.0152	0.31852216	0.015962748	0.2256	14.0	791.4989042282104
117	631.6617	303.82144	865.95886	30.672802	808.8	71.29029	12.659166	100.109985	11.637777	590000	-3.0994414e-08	396.49545	-0.04940048	-110.0271	0.31598324	0.015081258	0.2552	19.0	797.3202440738678
118	545.2298	271.46567	942.6208	68.78508	690.2857	76.39636	12.543948	107.674	30.672094	595000	1.8715858e-09	398.31693	-0.03498673	-101.200195	0.31137836	0.015403302	0.2032	12.0	803.1391282081604
119	715.71173	285.87494	927.50964	151.41373	838.6	71.76913	14.7388525	101.64976	20.26807	600000	-8.535385e-09	478.6331	-0.034602307	-195.77393	0.3091394	0.01570621	0.1842	11.0	808.8146300315857
120	830.312	103.79151	986.81433	712.9207	1000.0	81.49393	14.443903	109.500885	25.985916	605000	-9.068847e-09	227.03218	-0.014148483	-63.869797	0.30777344	0.015023561	0.212	5.0	814.5657279491425
121	454.87726	326.94614	920.70447	29.101892	581.625	77.85951	15.895363	107.52449	27.649277	610000	-3.3026932e-08	465.28876	-0.033716895	-119.483246	0.30716914	0.0151210055	0.2132	12.0	820.2752020359039
122	374.4581	274.23022	839.7476	25.76867	446.63635	77.14918	14.124388	116.31178	8.941044	615000	-2.9817224e-09	719.15906	-0.032868396	-166.51001	0.3053973	0.015093093	0.222	11.0	825.9999670982361
123	723.2679	255.96109	1032.1589	246.22862	825.1667	70.583244	14.798699	104.94281	9.241494	620000	-9.888411e-09	508.93774	-0.032596357	-141.66544	0.30497673	0.015282765	0.202	11.0	831.8193171024323
124	826.3535	94.44199	917.3083	648.45264	984.6	82.3238	15.031122	110.73356	-1.48506	625000	-9.131432e-09	313.26495	-0.026450684	-44.89279	0.303923	0.017015178	0.2016	8.0	837.4624719619751
125	665.6238	151.35565	840.45734	417.50604	848.0	76.64442	20.86159	114.23395	-6.6632395	630000	-2.0492077e-08	482.46536	-0.010593914	-122.094086	0.30268237	0.02022278	0.2112	4.0	843.2261378765106
