Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
37	-19.173086	3.0855975	-13.362518	-25.247217	50.0	-7.8213415	3.9890373	0.26155454	-17.464867	190000	-5.9902666e-10	5.80293	-0.022248307	-0.18000889	0.23751673	0.005011176	0.094	79.0	143.39944410324097
38	-18.528444	2.8363028	-13.566641	-27.686707	50.0	-7.6980686	3.8297484	0.14536078	-16.793886	195000	1.36107206e-08	5.478024	-0.022569397	-0.17960215	0.21277629	0.010517477	0.102	79.0	147.41635012626648
39	-17.722116	2.7248154	-12.278543	-25.809002	50.0	-7.4109626	3.835681	1.2157543	-15.644983	200000	-2.2932887e-09	5.4240303	-0.024877002	-0.31303072	0.19016981	0.009868876	0.112	79.0	151.5711371898651
40	-17.450941	2.4530935	-12.854457	-23.935776	50.0	-7.2944436	3.4888282	-0.1757902	-15.690858	205000	5.8114527e-09	4.3204675	-0.02483168	-0.21499729	0.16758347	0.008762563	0.1026	79.0	155.64266705513
41	-16.914381	2.7639096	-11.485013	-22.92909	50.0	-6.995489	3.5625517	0.6343657	-15.688727	210000	-2.1994113e-09	4.3284135	-0.023661824	-0.19679594	0.1430728	0.007581583	0.1098	79.0	159.78744888305664
42	-16.772936	2.5435638	-11.570278	-23.041843	50.0	-6.3947334	3.5761182	0.6514755	-14.876532	215000	1.9049644e-08	4.7088194	-0.02544101	-0.26904535	0.12392573	0.010772387	0.1062	79.0	163.87627506256104
43	-16.623133	2.6540165	-11.434565	-21.784794	50.0	-6.7549686	3.3516138	0.091386005	-14.733985	220000	4.9233435e-09	3.9779289	-0.023679959	-0.13123941	0.10356255	0.01015942	0.1098	79.0	167.88365817070007
44	-16.265102	2.7584383	-10.801922	-22.976313	50.0	-6.5769486	3.3624022	0.6901996	-14.562371	225000	-6.4611436e-09	3.9594948	-0.026601428	-0.10384369	0.080913596	0.009201557	0.1272	79.0	171.95368885993958
45	-15.753418	2.6994581	-9.630525	-22.830122	50.0	-6.4362135	3.1878788	0.37202477	-14.466227	230000	-4.989095e-09	3.805373	-0.026934968	-0.14033651	0.057152864	0.009864257	0.1228	79.0	175.9765441417694
46	-15.837384	2.5076935	-11.099217	-21.92962	50.0	-6.223434	3.1336362	0.99009186	-14.172788	235000	-1.3326108e-08	3.9958625	-0.023636129	-0.16300821	0.036242146	0.010208565	0.104	79.0	180.01734519004822
